,source,id,rating,culture_and_values_rating,work_life_balance_rating,senior_management_rating,compensation_and_benefits_rating,career_opportunities_rating
0,glassdoor,90474746,4,4,5,4,5,4
1,glassdoor,90467432,4,5,0,3,0,0
2,glassdoor,90443282,5,4,5,4,4,4
3,glassdoor,90420029,5,0,0,0,0,0
4,glassdoor,90401906,4,0,0,0,0,0
5,glassdoor,90366252,5,5,5,5,5,4
6,glassdoor,90334634,4,4,4,4,4,4
7,glassdoor,90334561,5,5,2,3,5,4
8,glassdoor,90314180,4,4,5,3,4,3
9,glassdoor,90250336,5,0,0,0,0,0
10,glassdoor,90175744,2,3,3,2,4,2
11,glassdoor,90166768,4,0,0,0,0,0
12,glassdoor,90163772,4,0,0,0,0,0
13,glassdoor,89937789,5,4,3,2,4,3
14,glassdoor,89901103,4,0,0,0,0,0
15,glassdoor,89849560,4,4,5,4,4,2
16,glassdoor,89827018,3,0,0,0,0,0
17,glassdoor,89818052,3,4,3,2,4,2
18,glassdoor,89816356,5,0,0,0,0,0
19,glassdoor,89721046,5,0,0,0,0,0
20,glassdoor,89702079,3,0,0,0,0,0
21,glassdoor,89694064,5,5,5,5,5,5
22,glassdoor,89617061,5,5,5,5,5,5
23,glassdoor,89489503,3,3,3,2,2,2
24,glassdoor,89382911,1,1,1,1,1,1
25,glassdoor,89382288,5,0,0,0,0,0
26,glassdoor,89317447,1,1,1,1,1,1
27,glassdoor,89276352,3,0,0,0,0,0
28,glassdoor,89243209,3,4,3,3,3,3
29,glassdoor,89239464,5,0,0,0,0,5
30,glassdoor,89236164,4,3,4,4,4,5
31,glassdoor,89165604,4,2,3,4,5,2
32,glassdoor,89107858,5,0,0,0,0,0
33,glassdoor,89033975,4,3,4,3,3,3
34,glassdoor,89005266,3,4,5,2,2,4
35,glassdoor,88978496,3,3,3,3,3,3
36,glassdoor,88935837,4,4,4,4,4,4
37,glassdoor,88807555,5,5,5,0,5,5
38,glassdoor,88779006,5,0,0,0,0,0
39,glassdoor,88777870,5,5,5,5,5,5
40,glassdoor,88777870,5,5,5,5,5,5
41,glassdoor,88748192,5,0,0,0,0,0
42,glassdoor,88694386,4,3,3,3,3,3
43,glassdoor,88681069,4,0,0,0,0,0
44,glassdoor,88669489,5,5,5,4,5,5
45,glassdoor,88596839,5,3,5,1,5,3
46,glassdoor,88596428,2,2,3,2,1,2
47,glassdoor,88529166,3,3,3,3,2,3
48,glassdoor,88499633,4,5,5,3,4,3
49,glassdoor,88421221,3,4,3,3,4,4
50,glassdoor,88313420,5,4,3,4,4,5
51,glassdoor,88277353,5,5,5,5,5,4
52,glassdoor,88263809,4,5,5,4,4,2
53,glassdoor,88211671,4,0,0,0,0,0
54,glassdoor,88211280,5,0,0,0,0,0
55,glassdoor,88166759,5,5,5,5,4,2
56,glassdoor,88028512,5,5,5,5,5,5
57,glassdoor,87989088,4,4,3,3,4,4
58,glassdoor,87930488,5,4,4,3,5,3
59,glassdoor,87835843,5,5,3,3,5,3
60,glassdoor,87829304,5,0,0,0,0,0
61,glassdoor,87814495,5,5,4,4,5,4
62,glassdoor,87680645,5,5,5,5,5,4
63,glassdoor,87584684,3,0,0,0,0,0
64,glassdoor,87582605,4,4,4,4,4,4
65,glassdoor,87530946,2,3,1,1,3,2
66,glassdoor,87463355,4,5,5,4,5,3
67,glassdoor,87448831,4,4,1,3,5,3
68,glassdoor,87444896,2,3,3,3,3,3
69,glassdoor,87414777,3,4,2,3,5,4
70,glassdoor,87414777,3,4,2,3,5,4
71,glassdoor,87354049,4,5,4,4,5,3
72,glassdoor,87342171,5,5,5,5,2,2
73,glassdoor,87309157,5,5,5,5,5,5
74,glassdoor,87234960,4,0,0,0,0,0
75,glassdoor,86961270,4,4,4,4,4,4
76,glassdoor,86910292,5,5,4,4,4,4
77,glassdoor,86894235,4,5,3,4,5,1
78,glassdoor,86873588,4,4,4,4,4,4
79,glassdoor,86834162,3,2,1,1,2,1
80,glassdoor,86807731,5,5,5,5,5,5
81,glassdoor,86760877,4,4,4,4,4,4
82,glassdoor,86752072,3,3,3,3,3,3
83,glassdoor,86719156,5,5,0,0,5,5
84,glassdoor,86677107,5,0,0,0,0,0
85,glassdoor,86664100,5,0,0,0,0,0
86,glassdoor,86649512,4,3,4,2,4,3
87,glassdoor,86602529,5,3,5,0,5,5
88,glassdoor,86599057,4,4,4,4,4,5
89,glassdoor,86573342,2,0,0,0,0,0
90,glassdoor,86462446,5,5,5,5,5,5
91,glassdoor,86441621,4,5,5,4,3,3
92,glassdoor,86410425,3,2,2,1,1,3
93,glassdoor,86396219,5,5,5,5,3,4
94,glassdoor,86389608,5,5,3,5,3,5
95,glassdoor,86381795,4,0,0,0,0,0
96,glassdoor,86348490,5,5,3,5,5,4
97,glassdoor,86283631,5,5,5,5,5,4
98,glassdoor,86160267,4,0,0,0,0,0
99,glassdoor,86117966,5,0,0,0,0,0
100,glassdoor,86283631,5,5,5,5,5,4
101,glassdoor,86160267,4,0,0,0,0,0
102,glassdoor,86117966,5,0,0,0,0,0
103,glassdoor,86082351,4,4,4,4,5,3
104,glassdoor,86014445,5,5,4,4,4,5
105,glassdoor,85902688,5,0,0,0,0,0
106,glassdoor,85897421,4,4,4,3,5,2
107,glassdoor,85874868,5,4,5,4,5,4
108,glassdoor,85854219,5,0,0,0,0,0
109,glassdoor,85712790,5,5,5,5,5,1
110,glassdoor,85694415,5,0,0,0,0,0
111,glassdoor,85666271,5,5,4,4,5,5
112,glassdoor,85664680,1,5,5,5,5,5
113,glassdoor,85495477,5,5,3,4,5,0
114,glassdoor,85443480,5,0,0,0,0,0
115,glassdoor,85421509,4,0,0,0,0,0
116,glassdoor,85272841,5,0,0,0,0,5
117,glassdoor,85265944,2,1,1,2,5,4
118,glassdoor,85201642,4,3,5,4,5,4
119,glassdoor,85181402,5,5,5,5,5,5
120,glassdoor,85069999,5,5,3,4,5,5
121,glassdoor,85003626,4,4,4,2,2,1
122,glassdoor,84850849,5,4,5,5,5,5
123,glassdoor,84831941,2,1,1,1,3,2
124,glassdoor,84815365,4,5,3,4,4,4
125,glassdoor,84807168,3,4,3,4,3,2
126,glassdoor,84763552,5,5,5,4,5,5
127,glassdoor,84645779,4,4,3,3,3,2
128,glassdoor,84591927,5,5,5,4,5,4
