,id,title,text,final_sentiment
0,90474746,Great culture and compensation,Great culture. Good compensation. Work from home options.The projects may be not the most challenging ones and you may end up doing some really boring work.,neg
1,90467432,Ready to deal with several personalities with ego,"pay, benefits, stocks, culture and airbnb creditodd hours matching pacific time, No weekends",neg
2,90443282,Great place to stay,"Great remote policy, package, wlbStock price unpredictable, top down culture",neg
3,90420029,Great company,"Benefits
Team engagement
Days off 
Volunteer time 
Leave for sickness/ Mat leave / Pat leaveSalary can be low for time",neg
4,90401906,Great place to work,"Great company culture, good level of salary and benefitStrategical decision made by a super small group",pos
5,90366252,Great company,Great benefits / great atmosphere and cultureNo real cons. All good.,pos
6,90334634,Great place to work,"On time salary
Yearly increments 
Other allowances
WFHWork hard and exceptional performance required for promotions",neg
7,90334561,Wonderful experience,"Care about their people, Food, Swag, Fun, Amazing officeWork/life balance, Intense goals, Sometimes understaffed",pos
8,90314180,Good company,great benefits and nice colleaguessalaries are lower than other departments,pos
9,90250336,Amazing company to work for,"Good culture
Remote work
LeadershipHorizontal teams that might require late night collab",neg
10,90175744,"Great pay, questionable management ","great pay
bonuses 
Great benefitsManagement questionable
Little room for growth
strenouous",neg
11,90166768,Decent compensation and work life balance,Remote work friendly and good benefitsSome projects move slowly because of tech debt,neg
12,90163772,Positive overall,Work life balance depending on roleExternal hires instead of hiring from within,neg
13,89937789,Good learning experience ,"Great perks
Pretty office 
Good food
Great eventsToxic
Lack of growth
Monotonous",pos
14,89901103,"Great Work Culture, But Salary and Shifts Could Improve","I worked at Airbnb for over 4 years, and overall, it was a rewarding experience. The company culture is good—Airbnb values diversity, inclusivity, and employee well-being. The team spirit and camaraderie among colleagues made it a good place to work, and there were always opportunities to learn and grow within the company.There are a few areas where Airbnb could improve. While the work environment was positive, the salary wasn't as competitive as I would have hoped, especially considering the demands of the job. Additionally, the majority of shifts were during the night, which could be challenging for maintaining a healthy work-life balance.",pos
15,89849560,Decent job,"- Good WLB
- Great compensation- Decision made from the top down
- Limited opportunities for career growth",pos
16,89827018,The environment was nice,Having a great team with multiple nationalitiesThe salary was low for the work,neg
17,89818052,Great place to be,"Awesome team, great people, niche techPolitics as usual. Mismanagement between non tech and tech teams",pos
18,89816356,very nice,"people, colleagues, team, status, visionnot much to complain about",neg
19,89721046,I work for my mum guys,"Easy cleaning job, great experience, good for learning how to clean quickly but not sacrificing qualityNone that i can think of",pos
20,89702079,Tough team,Very involved role and teamHorrible management to be honest,neg
21,89694064,Good company,Good package and work from home.Management is a little Harsh,neg
22,89617061,The best service for property owners,"The service is convenient for owners, including because guests love it.I haven't had any problems with them in several years of work.",neg
23,89489503,would recomend,good good good god goodsalary not too good for the stress,pos
