,id,title,text,final_sentiment
0,90426167,Na,"Nothing to complain, great placeNothing if I think about it",pos
1,90403371,Top!,"• Culture
• Many different colleagues from all over the world
• You can be who you want to be and are accepted either way• Promotions more difficult to get
• Not easy to move around the business anymore
• Not enough bonus for what we do extra each year",neg
2,90378076,Ideal and Innovative Organization,"1. Good scope to improve and progress in career
2. Good amenities and facilities 
3. Good afternoon lunch and snacks
4. Supportive and friendly teams
5. Easily reachable to higher level
6. Center of the city1. Team size is less
2. Not completely remote",pos
3,90347272,Pros&amp;Cons Both,Good working Environment for FamilyBad leadership as far as I know.,pos
4,90343755,Great,"A front-line company, the people and perksYou'll soon figure it out",neg
5,90275721,Overall good,Great company to work in with a lot of benefits and fair payNot many options to grow,pos
6,90253941,it was good,The company culture and activities.Customer queries could be challenging sometimes.,pos
7,90246841,Stressful job ,Good people and modern cultureCrazy shift pattern very tiresome,neg
8,90244100,It was good whilst it lasted,"Great structure as a business, great benefits and great company cultureBad local management, with little management skills",pos
9,90231125,Intern,"dynamic, young, stimulating, open mindedworking culture, stress, bad coffe,",neg
10,90205745,Great company and dynamic working enviroment,"Career plan, great work environment, flex time and flex agendaThe internal processes could be sometimes pretty intense",pos
11,90203916,Good place to work,"Many benefits, bike scheme, lunch, stocks for some higher functions. Beautiful office, many events. Strong work ethicNowdays it is challenging to grow as there are many caretakers roles rather then open vacancies.",pos
12,90112175,"Fair employer, nice people","Good pay, good benefits, good work life balanceNone none none none none",pos
13,90100290,CSR,"OT got paid, free lunch, travel benefitnot flexible schedule and bad management",neg
14,90080199,Horrendously bad management,"Hybrid Working Sytem, Good social environment.The CEO is lack experienced and has major unnecessary trust issues. lack of benefits. and he comes off as immature and manipulative. He’s lost a lot of trust from his person because of his decisions. highly not recommended. You guys deserve better.",neg
15,90076902,Frontend roles don't have much growth,"Booking has an excellent international work culture. You get to work from folks from around the world, and that is itself a learning experience. The work-life balance is excellent and their recent policy change for 22-weeks paternal leave is super awesome. Sprint plannings ensure that you're not overloaded, and you can always find time for family and your personal life.
Teams work in small sizes so you get to interact with all the stakeholders so that's a very positive side.
When you join, their relocation team ensures that your experience is seamless. They put the stress out of concern when you think you're moving to a new country.

And don't forget the compensation: it's best in the market! I mean, I've interviewed with FAANG companies and only a very few of them have been able to match my compensation.Moving up the ladder within company, unless you're a fullstack dev, is difficult. There's barely any innovation, or scope for it, unless you work for a core team that develops one of the inhouse frameworks. After a while, the boredom gets you. With each passing year, you understand how detrimental all of it is for your career.
You can learn new tech, but on your own, because most of the times, it won't align with team requirements. Again, unless something falls within the policy, it ain't gonna happen. Policy runs everything here, from people to process.",neg
16,90072659,Awesome work culture and high tech work tools,"I believed that this company one of the best i worked for , its corporate but still good for development, the HR especially, they really nurtured youThe disagreement between the top level management",pos
17,90069265,Worth it,Good company culture and teamLimited growth opportunities for region,pos
18,90046735,5,"great team, good benefits, and a locationThe job is repetitive and there's a low chance to advance",pos
19,90036361,Project manager,Good benefits and good pace of workloadNot exactly what I would want to do,pos
20,90036345,The balance,"It is a place of balance. You do your work, you get the reward you deserve. You want more balance towards your personal life - you can have it as long as you do your work. This place makes me a better father, person, friend, colleague, professional.Not for corporate sharks so don't bother if you are one of them",neg
21,89997755,Great people at work,"It has a great culture, values and great colleagues. Also a good work life balance.Specially if you grow internally, they keep the salaries low.",pos
22,89944102,Amazing work life balance,Very good and flexible environmentNothing I can think of,pos
23,89938179,Company Review,"Overall amazing experience, very international setting and fast-paced developmentStill moving on from the Start-up mindset into a corporate / full scale tech company",neg
24,89864272,Great culture and company to work in NL,"Market leaders
Great salary package as a wholeDynamic culture and leadership
Lack of clarity while setting up goals",pos
25,89844178,Best company ever,"Flexibility, benefits, salary, learning and brand recognitionNo cons except for the changing factor",neg
26,89840273,Great company to build professional skills and lifetime connections,"One of the top technology travel companies in the world.multinational corperation, has a strict age bias for sales positions",pos
27,89831968,Friendly team,Shared goals. Adequate training. Solid team. Nice benefitsAllot of pressure. Not sure of pathways away from customer service within company,pos
28,89822792,Good Experience and fair compensation,"Hybrid Model
Good environment
Friendly colleague attitudeCorporate model structure when communicating with Headquarters and it's several departments
Lack of clear guidelines in different crucial matters",neg
29,89793548,Account Management in Booking.com,"Big tech company, Global leader, Several BenefitsCareer growth is concentrated in the HQ",neg
30,89792961,Nice place ,A lot to learn and understandNo too much cons when you are new,neg
31,89792304,Amazing company to work in,"Good office, good food, nice people, a lot of events, diverse staff, inclusive.Tech stack is a bit legacy but working on modernization.",pos
