,id,title,text,final_sentiment
0,90468358,Please avoid if you are prioritizing your mental health,"It *used* to have a collaborative environment that prioritized team work, encouraged people to make mistakes and learn from them and celebrated differences in working styles. I can't say that it's been like that for a few years nowHR, please take complaints of bullying, gaslighting and unfair treatment from leaders seriously. Pressure from leadership for teams to hit goals, also being labelled as ""holding people to account"", is NOT an excuse to treat people in unethical, disrespectful ways. Ironically, treating people like this actually doesn't motivate and promote better work, it just makes this a lose-lose hostile working environment.",neg
1,90461126,Company that really cares about their staff,"From day one Tripadvisor looks after you, career development, welfare, and general wellbeing, It's a fast-paced environment so employee wellbeing is important. Summer flex days and well-being extra paid holiday are an appreciated benefit.Caring Company very rare these days",neg
2,90452049,best place i have ever worked,"great people great purpose, you can get on and do your jobcompany direction has been a challenge for a long time, but it's taking shape",pos
3,90361552,Found better opportunities,"Flexible hours, mostly remote roleNot much room for growth",neg
4,90091055,Good Place Work,"Solid benefits, pay is decent, people are great. There have been lots of changes but things are settling down a bit.Company is in somewhat of a transition period.",pos
5,90085513,Good place to work,I liked working at the companyI wish I hadn’t gotten laid off.,pos
6,90080244,"Good Employer, perfect for gaining experience","A lot of perks, the atmosphere between the cowrokers is friendly and positive. There is a high intention that everbody get treated equally, no matter what kind of position. Even in a lower position you can always chat with colleagues who are in a ""higher rank"" (e.g. the CEO, greetings to Matt). You can be outward and don't have to worry about your nature, as long as you are kind. Good perfomance gets always rewarded and is seen! It's just a matter of persistency. If you work hard, you are motivated, and you like to exchange ideas with your colleagues, this is a nice place to be.I think i can speak for everybody else that sometimes you go under among so many people when you feel stressed and restless. . You have to adapt to changes and be fast. If you are not willing to show the best side of you, you don't earn it to work here.",neg
7,90059316,Good culture,"Good work life balance and culturenone, I think it's good place to work",pos
8,89935950,Overall good atmosphere,Work environment is good. And management is supportive.Experience is not good for the new comer,pos
9,89930815,Welcoming &amp; Engaging,"Pay is above market 
Colleagues are all very knowledgeable 
Work is specialized and relevant 
Company is one you will engage with irlColleagues worldwide can mean weird working hours",neg
10,89776942,Very good company,"Remote working
Completive salary
Good line managersSome really nasty old technologies
A lot of teams seriously under staffed",neg
11,89758191,Nice place,"Good people, nice work. LikeNot challenging enough. compensation package",pos
12,89712615,Good,"Decent salary, good location and hoursDownsides are bosses and citizens",pos
13,89688528,"Interesting work, good pay, but employee experience could be better","Work on highly impactful projects
General nice team
Better than average payNot too much guardrails/ safe measures against things like:
- too much work
- tight deadlines
- resulting in poor work quality
- not much taught put into things like quality of life/ team building/benefits
- remote employees feel kind of isolated",neg
14,89655728,Great company with great culture,"- Great work-life balance
- Great colleagues, smart people
- Inclusive culture
- Platform with huge trafficNone that I can think about",pos
15,89583346,"Great company, but hit hard by Google","- Great people
- Good compensation
- Senior leadership (minus the old B2C president and head of product) care about the people- Business model challenges
- Google sucks up so much of the traffic that they used to get",pos
16,89443328,Good,"Good environment, learn a lota lot of unnecessary meetings",neg
17,89382907,Great place to work,Growth as a software engineerNone that I can think of,neg
18,89183092,enjoyable,"good work life balance
god community 
good salaries and commissionchanged to territory but doable",pos
19,89018854,Great place to work!!,"Great team.
Technical exposure to latest tech stack.
Good leave policy.Might need to work on old tech stack for some duration.",pos
