,source,id,rating,culture_and_values_rating,work_life_balance_rating,senior_management_rating,compensation_and_benefits_rating,career_opportunities_rating
0,glassdoor,90468358,1,1,1,1,1,1
1,glassdoor,90461126,5,5,5,5,5,5
2,glassdoor,90452049,5,4,4,4,5,5
3,glassdoor,90361552,3,3,3,3,3,3
4,glassdoor,90091055,4,5,5,4,4,4
5,glassdoor,90085513,5,5,5,4,4,3
6,glassdoor,90080244,5,5,5,5,5,4
7,glassdoor,90059316,5,0,0,0,0,0
8,glassdoor,89935950,4,4,4,4,4,4
9,glassdoor,89930815,5,0,0,0,0,0
10,glassdoor,89776942,5,5,5,4,4,4
11,glassdoor,89758191,4,0,0,0,0,0
12,glassdoor,89712615,3,4,3,3,3,4
13,glassdoor,89688528,3,3,3,3,4,4
14,glassdoor,89655728,5,5,5,4,4,5
15,glassdoor,89583346,4,5,5,3,5,3
16,glassdoor,89443328,4,0,0,0,0,0
17,glassdoor,89382907,4,0,0,0,0,0
18,glassdoor,89183092,5,5,5,5,5,5
19,glassdoor,89018854,4,4,4,4,4,5
20,glassdoor,89018854,4,4,4,4,4,5
21,glassdoor,88958178,5,5,5,5,5,5
22,glassdoor,88801533,4,0,0,0,0,0
23,glassdoor,88510066,4,0,0,0,0,0
24,glassdoor,88339500,3,4,4,3,3,3
25,glassdoor,88304538,4,4,3,4,4,3
26,glassdoor,87782508,4,0,0,0,4,4
27,glassdoor,87669173,3,0,0,0,0,0
28,glassdoor,87569799,3,5,5,3,4,3
29,glassdoor,87560218,5,0,0,0,0,0
30,glassdoor,87292689,1,1,1,1,5,2
31,glassdoor,87290329,5,4,0,4,2,3
32,glassdoor,87188378,5,5,5,4,5,4
33,glassdoor,87076502,3,0,0,0,0,0
34,glassdoor,87004420,3,4,3,4,3,1
35,glassdoor,86666482,3,0,0,0,0,0
36,glassdoor,86634649,4,5,4,2,4,2
37,glassdoor,86416751,4,0,0,0,0,0
38,glassdoor,86336908,3,2,3,2,4,4
39,glassdoor,86143783,5,4,5,3,4,3
40,glassdoor,86143783,5,4,5,3,4,3
41,glassdoor,85956895,4,4,3,3,3,4
42,glassdoor,85921637,3,4,5,2,3,3
43,glassdoor,85889719,1,4,3,3,3,3
44,glassdoor,85732932,4,4,4,3,3,3
45,glassdoor,85401752,5,5,5,5,5,5
46,glassdoor,85397410,2,0,0,0,0,0
47,glassdoor,85357481,3,4,4,2,4,2
48,glassdoor,85218156,5,4,4,4,4,4
49,glassdoor,85166907,3,2,4,2,5,1
50,glassdoor,85110231,3,0,0,0,0,0
51,glassdoor,85109822,3,3,4,2,3,3
52,glassdoor,84969963,4,4,3,2,4,3
53,glassdoor,84919807,5,5,5,5,5,5
54,glassdoor,84831134,4,5,5,2,4,3
55,glassdoor,84568563,3,0,0,0,0,0
56,glassdoor,84433145,5,5,5,5,5,5
57,glassdoor,84399436,4,4,5,3,5,4
58,glassdoor,84244785,4,5,4,4,4,3
59,glassdoor,84143285,5,0,0,0,0,0
