url,rating,title,pros,cons,advice,reviewer,datetime,language,id,culture_and_values_rating,diversity_and_inclusion_rating,work_life_balance_rating,senior_management_rating,compensation_and_benefits_rating,career_opportunities_rating,location,is_current_job,rating_ceo,rating_business_outlook,rating_recommend_to_friend
https://www.glassdoor.com/Reviews/Employee-Review-M-RVW90426167.htm,5,Na,"Nothing to complain, great place",Nothing if I think about it,,Customer Service Representative (CSR),2024-08-26T10:00:11.657,en,90426167,0,0,0,0,0,0,,False,,,
https://www.glassdoor.com/Reviews/Employee-Review-M-RVW90403371.htm,4,Top!,"• Culture
• Many different colleagues from all over the world
• You can be who you want to be and are accepted either way","• Promotions more difficult to get
• Not easy to move around the business anymore
• Not enough bonus for what we do extra each year",,Coordinator,2024-08-25T14:42:30.247,en,90403371,5,5,5,3,3,3,,True,NO_OPINION,NEUTRAL,POSITIVE
https://www.glassdoor.com/Reviews/Employee-Review-M-RVW90378076.htm,5,Ideal and Innovative Organization,"1. Good scope to improve and progress in career
2. Good amenities and facilities 
3. Good afternoon lunch and snacks
4. Supportive and friendly teams
5. Easily reachable to higher level
6. Center of the city","1. Team size is less
2. Not completely remote",,SAP MDG Consultant,2024-08-24T03:42:23.447,en,90378076,5,5,4,4,5,5,,True,,POSITIVE,POSITIVE
https://www.glassdoor.com/Reviews/Employee-Review-M-RVW90347272.htm,3,Pros&amp;Cons Both,Good working Environment for Family,Bad leadership as far as I know.,,Account Manager,2024-08-23T01:03:14.200,en,90347272,3,3,3,3,3,3,,False,,,
https://www.glassdoor.com/Reviews/Employee-Review-M-RVW90343755.htm,4,Great,"A front-line company, the people and perks",You'll soon figure it out,,Sustainability Manager,2024-08-22T21:46:31.403,en,90343755,3,4,3,3,4,3,,False,APPROVE,POSITIVE,POSITIVE
https://www.glassdoor.com/Reviews/Employee-Review-M-RVW90275721.htm,4,Overall good,Great company to work in with a lot of benefits and fair pay,Not many options to grow,,Customer Service Representative,2024-08-21T00:08:55.023,en,90275721,0,0,0,0,0,0,,False,,,
https://www.glassdoor.com/Reviews/Employee-Review-M-RVW90253941.htm,4,it was good,The company culture and activities.,Customer queries could be challenging sometimes.,,Customer Service Representative,2024-08-20T08:27:23.100,en,90253941,4,4,4,4,4,4,,True,NO_OPINION,NEUTRAL,POSITIVE
https://www.glassdoor.com/Reviews/Employee-Review-M-RVW90246841.htm,3,Stressful job ,Good people and modern culture,Crazy shift pattern very tiresome,,Russian Speaking Customer Service Representative,2024-08-20T04:42:50.440,en,90246841,0,0,0,0,0,0,,False,,,
https://www.glassdoor.com/Reviews/Employee-Review-M-RVW90244100.htm,4,It was good whilst it lasted,"Great structure as a business, great benefits and great company culture","Bad local management, with little management skills",,Customer Service Team Lead,2024-08-20T02:49:48.720,en,90244100,4,2,4,2,4,3,,False,DISAPPROVE,NEUTRAL,POSITIVE
https://www.glassdoor.com/Reviews/Employee-Review-M-RVW90231125.htm,3,Intern,"dynamic, young, stimulating, open minded","working culture, stress, bad coffe,",,Internship,2024-08-19T16:18:49.530,en,90231125,3,3,3,3,3,3,,False,,,
https://www.glassdoor.com/Reviews/Employee-Review-M-RVW90205745.htm,5,Great company and dynamic working enviroment,"Career plan, great work environment, flex time and flex agenda",The internal processes could be sometimes pretty intense,,Account Manager,2024-08-19T01:39:31.783,en,90205745,5,5,5,5,5,5,,True,APPROVE,POSITIVE,POSITIVE
