id,title,text,final_sentiment
1i1kov3ds3n4a001,Fun to work here,Fun and easy place to work. Kind staff. My boss cares about me and makes it so I can go to school and work. Highly recommend working here. Space to grow,pos
1i3lv3gbtm3qm802,Great experience : I have great memories about my role at Airbnb,Great place to work. The staff and the role itself were great overall. Airbnb is a nice  place to work and learn much more about the company and about marketing ATL/BTL.,pos
1i3lnrklvm3qm802,Nice,"You have your own time. You set your own rules within the confines of what is generally accepted in hosting. but you do have a lot of flexibility for being creative on how you price your units and how you treat your guests. Overall its a very rewarding experience so long as you're passionate with what you do. YOu will learn a lot. from customer service, maintenance, finance, marketing etc.",neg
1i3e8mk75j3mq802,"Good pay, lots of coolaid ","Good pay, benefits.  Very little room for independent thinking.  Much more interested in value projecting than actually measuring impact of work.  Also you’re really messing with the housing market ",neg
1i33vq02bj3mq800,Great place to work,"They treat and pay their employees well, especially on the tech side. You have to be comfortable with a top-down approach to software development. The CEO being involved can sometimes be a blocker but overall I was very happy here.",pos
1i2elo2n2j0gp801,Not bad,"Job involved cleaning quickly,really tires you out a lot. Strong chemicals made me have headaches I think there are a bit more enjoyable job out there . Pay is decent.",neg
1i1vina4ugpe7800,"Good people, a little messy under the bonnet"," worked as a Project Manager at Airbnb in Dublin for one year, and overall, it was a positive experience.

Pros:

Dynamic Work Environment: The office culture is vibrant and collaborative, fostering creativity and innovation.
Supportive Team: Talented colleagues and management encouraged continuous learning and development.
Perks and Benefits: Excellent benefits, including health insurance, wellness programs, and generous vacation policies.
Cons:

Fast-Paced Environment: The dynamic environment can be overwhelming at times, requiring strong time management skills.
Communication Challenges: Coordination across different time zones sometimes led to delays.
Career Advancement: The path to advancement is competitive and requires consistent performance.",pos
1i0rf4gqrj3ij801,Fun Workplace with Perks,"What is the best part of working at the company?
You’re paid to help people find the best destination and the most affordable price! With destinations all over the World my talent connects people with rentals and money exchange rates!

What is the most stressful part about working at the company?
Endless Calls and understanding different dialects

What is the work environment and culture like at the company?
Very healthy fun exciting , promotions  and days off

What is a typical day like for you at the company?
Helping people book a place they can afford answer there concerns",pos
1i03t2bpkkkfe800,Working with Airbnb was a great opportunities for personal and professional growth.,"What is the best part of working at the company?
The culture, and being part of a community that aligns with your values and goals.

What is the most stressful part about working at the company?
The lower management not trained enough to handle people. 

What is the work environment and culture like at the company?
Teamwork is highly valued, and employees are encouraged to share idea.

What is a typical day like for you at the company?
Attending meetings or team stand-ups to discuss project progress, collaborating with colleagues on various projects or initiatives, completing individual tasks or assignments, and communicating with clients and stakeholders as needed.",neg
1hvmsggd7jorl801,Learning experience,"My first job was at Air BNB, good environment that challenged me to do my best. I learned how to clean at a high standard for guests, and received 5 stars for it.",pos
1hvgmdd9ajrqv800,"They owe me money, but is the best job I’ve ever had","Only problem I have with this company is they owe me $30,000 and they didn’t cover their air claim and it lost me in my house in my business. Other than that, I’ve really enjoyed you family vacations, and I regret that they stop paying me and change the format of Customerservice. Can’t get anyone on the phone higher than an ambassador that can actually do anything or help you with it.",neg
1hv5pe7ndp5n4802,Good place ,so long as you are lucky enough to have a good manager you will get on very well. great colleagues and plenty of opportunities to develop your skills ,pos
1huk53ff7irlt800,Amazing ,"What is the best part of working at the company?
To exceed the expectations of my guests

What is the most stressful part about working at the company?
Unexpected repairs that must be solved in record time

What is the work environment and culture like at the company?
Create extraordinary experiences that exceed the expectations of our guests

What is a typical day like for you at the company?
Maintain clear and fast communication",neg
1huhjohqfk6ru800,great work hours as its remote and self employed ,good work for someone that has strong work ethics and great time management skills. Needs to be available at all times for guests need to keep up good ratings and earn super host ,pos
1hthm8ektk7pb802,Best career ever,"Best place to work . Flexible and fair with vacations comfortable office
Good compensation
Free food. Best co workers ever.Great management 
Not easy to be hired 
",pos
1ht5v8uoak56b800,I really enjoy cleaning airbnbs. I love getting feed backs from guests on how there stay was or even meeting guests. It’s always nice. ,"What is the best part of working at the company?
Making the place perfect for the guests and make sure they have everything they’ll need during their stay. 

What is the most stressful part about working at the company?
None to complain to be honest. 

What is the work environment and culture like at the company?
It’s only me there so it’s quiet and I just put my music on and start cleaning 

What is a typical day like for you at the company?
I go to work and just start on the laundry first and then get to my cleaning. I have easy going days. It’s rare that it goes bad.",pos
