title,text,rating,id,language,reviewer,location,cons,pros,url,datetime,reviewer_employee_type,job_work_and_life_balance_rating,compensation_and_benefits_rating,job_security_and_advancement_rating,management_rating,job_culture_rating
Good,"I worked at Booking.com as a Customer Service Executive and had a highly positive experience. The company provides excellent training and support, ensuring that employees are well-equipped to handle a variety of customer inquiries. The work environment is dynamic and multicultural, which fosters both professional and personal growth. Additionally, the team-oriented atmosphere encourages collaboration and helps build strong problem-solving skills. The company's focus on customer satisfaction is impressive, and I appreciated being part of a team that strives to deliver top-notch service. Overall, my time at Booking.com was rewarding, and I gained valuable skills in communication and customer relations",4,1i5o7qt6khdjh800,en,Customer Service Representative,"London, KY",,,https://indeed.com/cmp/Booking.com/reviews/good?id=fb0099fc562e7f1f,2024-08-20T00:00:00,Former Employee,0,0,0,0,0
Fun place,"Fast pace environment, great management policies, fun place, possibilities to grow up inside the company. Good environment and multicultural pace to work",5,1i43gmi45k7pf801,en,Customer Service Representative,"Toronto, ON",,,https://indeed.com/cmp/Booking.com/reviews/fun-place?id=920b8117e917189b,2024-07-30T00:00:00,Former Employee,0,0,0,0,0
Wonderful adventure without leaving the state.,"What is the best part of working at the company?
Family Atmosphere. Training and compensation. 

What is the most stressful part about working at the company?
International customers who could not understand guest boundaries. 

What is a typical day like for you at the company?
Arrive timel. Get Coffee. Have a meeting to assess proud activity.",5,1i37hunfgg2pt801,en,Customer Service Representative,"Grand Rapids, MI",,,https://indeed.com/cmp/Booking.com/reviews/wonderful-adventure-without-leaving-the-state?id=e7518dd4233a4747,2024-07-20T00:00:00,Former Employee,0,0,0,0,0
Flexible working hours and location. Good equipped office environment,"I have enjoyed my experience as a customer of this company, appreciating the quality of products/services offered. However, as an employee, I have noticed some areas for improvement in management's responsiveness to urgent business process requirements. Timely feedback and guidance on performance are crucial for personal and professional growth, and I believe addressing this could greatly enhance the work environment and overall productivity.",3,1i1n24s52i81r801,en,Procurement Officer,Amsterdam,,,https://indeed.com/cmp/Booking.com/reviews/flexible-working-hours-and-location-good-equipped-office-environment?id=516d2521fd8870ff,2024-07-01T00:00:00,Current Employee,0,0,0,0,0
Good,It’s a company where you had a lot of growing opportunties. The job itself can be a quite challenging. The pressure of KPI’s can also be challenging..,4,1i0nmmjrpolkv802,en,Guest specialist,Amsterdam,,,https://indeed.com/cmp/Booking.com/reviews/good?id=dcc23597051e0e4b,2024-06-19T00:00:00,Former Employee,0,0,0,0,0
Okay,It's a call centre. They try to make it fun but you're still dealing with customers. Calls can be awful but you're given enough autonomy to handle the call your way.,3,1i0lpap3rolkv801,en,Customer Services Executive,Remote,,,https://indeed.com/cmp/Booking.com/reviews/okay?id=f12517a583da79ed,2024-06-18T00:00:00,Former Employee,0,0,0,0,0
Good until they sell us to another company,"Through out the journey, until the day they said they sell the whole CS team to another company, they are good employer. 

The place was fun to work with, good benefits to the employee. I feel heard. I trust in their whistle blower program and that how they don’t tolerate fraud.  

The mission is good. Still stick to that. It was bad because they decided to sell us. There’s no severance package in some countries as well 😔

To see now how smaller departments keep getting cut, I’m just not sure anymore if it would still be a stable career for you here. ",3,1huv15c7oihjq801,en,Customer service representative,Bangkok,,,https://indeed.com/cmp/Booking.com/reviews/good-until-they-sell-us-to-another-company?id=dac103a5621eb885,2024-05-28T00:00:00,Former Employee,0,0,0,0,0
fun workplace,fun workplace. learned a lot. nice colleagues and free food. late hours sometimes but balanced out. would recommend working here. nice pay and some other perks too.,3,1hu4d97plj6ck801,en,UX Design Intern,"Mumbai, Maharashtra",,,https://indeed.com/cmp/Booking.com/reviews/fun-workplace?id=cd07e1389bb673b6,2024-05-17T00:00:00,Former Employee,0,0,0,0,0
Lots to like,"On balance, a good place to work. Good pay and benefits and a healthy work/life balance.
Head office is in Amsterdam, so progression opportunities in Manchester are limited",4,1hu3c35anj6e4802,en,Marketing,"Manchester, Greater Manchester",,,https://indeed.com/cmp/Booking.com/reviews/lots-to-like?id=7fa4d93a8fd16bc9,2024-05-17T00:00:00,Current Employee,0,0,0,0,0
Petty Means Girls Club,Don't do it. Popularity contest that doesn't value results - just must be in with the managers. Regional manager would say the meanest things about employees in secret meetings - right down to insulting their looks. ,1,1htpb208q2flo000,en,Account Manager,"San Francisco, CA",,,https://indeed.com/cmp/Booking.com/reviews/petty-means-girls-club?id=88654d1dab0034f3,2024-05-13T00:00:00,Former Employee,0,0,0,0,0
